Name , Prize 
SAMSUNG Galaxy F05 (Twilight Blue, 64 GB) 6249 
SAMSUNG Galaxy A05 (Silver, 128 GB) 8001 
SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB) 14397 
SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB) 9999 
SAMSUNG M05 (Mint Green, 64 GB) 7289 
SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB) 11499 
SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB) 13499 
SAMSUNG Galaxy A05 (Light Green, 128 GB) 7998 
SAMSUNG Galaxy M35 5G (Moonlight Blue, 128 GB) 14490 
SAMSUNG Galaxy A55 5G (Awesome Navy, 128 GB) 33989 
SAMSUNG Galaxy Z Flip5 (Lavender, 512 GB) 66999 
SAMSUNG Galaxy M15 5G (Stone Grey, 128 GB) 13849 
SAMSUNG Galaxy M14 4G (Sapphire Blue, 64 GB) 8487 
SAMSUNG Galaxy A35 5G (Awesome Iceblue, 128 GB) 25199 
SAMSUNG Galaxy A14 5G (Dark Red, 128 GB) 20999 
SAMSUNG Galaxy Z Flip5 (Cream, 512 GB) 66490 
SAMSUNG Galaxy M35 5G (Thunder Grey, 128 GB) 14396 
SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB) 59999 
SAMSUNG Galaxy F15 5G (Ash Black, 128 GB) 13499 
SAMSUNG Galaxy M35 5G (Thunder Grey, 256 GB) 20885 
SAMSUNG Galaxy A16 5G (Light Green, 128 GB) 14476 
SAMSUNG Galaxy A54 5G (Awesome Violet, 128 GB) 28899 
SAMSUNG Galaxy S25 Plus 5G (Silver Shadow, 256 GB) 99999 
SAMSUNG Galaxy A35 5G (Awesome Iceblue, 256 GB) 28999 
